Name/ID,Vertical,Industry,Total BRR Currency,Total BRR
13605,Consulting / Other Professional Services,Professional Services,USD,879.00
13636,Regional Carrier/ISP,Telecommunications,USD,554.00
13665,Finance,Finance,USD,0.00
13746,Manufacturing,Energy & Manufacturing,USD,"1,266.00"
13808,Internet Content & Software,Media & Content,USD,50.00
13884,Internet Content & Software,Media & Content,USD,395.00
13895,Real Estate / Construction,Other Enterprise,USD,0.00
13961,Regional Carrier/ISP,Telecommunications,USD,0.00
13971,RLEC,Telecommunications,USD,0.00
13972,Hospitality,Other Enterprise,USD,"1,200.00"
14113,Internet Content & Software,Media & Content,USD,0.00
14172,Regional Carrier/ISP,Telecommunications,USD,0.00
14180,Internet Content & Software,Media & Content,USD,98.00
14181,Non-Healthcare Insurance,Other Enterprise,USD,0.00
14194,Higher Education,Research & Education,USD,157.00
14228,Colo/Hosting,Data Center & Cloud Services,USD,"1,160.00"
14235,Media,Media & Content,USD,49.00
14259,Federal Government,Government,USD,0.00
14288,Oil & Gas,Energy & Manufacturing,USD,0.00
14359,Consulting / Other Professional Services,Professional Services,USD,956.00
14410,Colo/Hosting,Data Center & Cloud Services,USD,0.00
14417,Finance,Finance,USD,"1,007.00"
14438,Consulting / Other Professional Services,Professional Services,USD,499.00
14458,Healthcare,Healthcare,USD,0.00
14465,Consulting / Other Professional Services,Professional Services,USD,"1,325.00"
14472,Healthcare,Healthcare,USD,"1,057.00"
14482,Consulting / Other Professional Services,Professional Services,USD,578.00
14543,Real Estate / Construction,Other Enterprise,USD,561.00
14567,Media,Media & Content,USD,"1,223.00"
14653,Asset Management / Hedge Fund,Finance,USD,419.00
14693,Higher Education,Research & Education,USD,0.00
14704,Regional Carrier/ISP,Telecommunications,USD,582.00
14709,National Carrier/ISP,Telecommunications,USD,0.00
14744,Consulting / Other Professional Services,Professional Services,USD,"1,274.00"
14848,Consulting / Other Professional Services,Professional Services,USD,960.00
14857,Colo/Hosting,Data Center & Cloud Services,USD,405.00
14895,Commercial Systems Integrator,Professional Services,USD,0.00
14925,Healthcare,Healthcare,USD,222.00
14940,Regional Carrier/ISP,Telecommunications,USD,382.00
14985,Consulting / Other Professional Services,Professional Services,USD,663.00
15053,Internet Content & Software,Media & Content,USD,"1,104.00"
15054,Media,Media & Content,USD,0.00
15089,Consulting / Other Professional Services,Professional Services,USD,0.00
15173,National Carrier/ISP,Telecommunications,USD,"1,140.00"
15191,Colo/Hosting,Data Center & Cloud Services,USD,0.00
15206,Telecommunications Equipment Provider,Other Enterprise,USD,517.00
15231,Reseller,Telecommunications,USD,"1,218.00"
15239,Retail,Other Enterprise,USD,770.00
15272,Consulting / Other Professional Services,Professional Services,USD,399.00
15286,Finance,Finance,USD,"2,699.00"
15307,Hospitality,Other Enterprise,USD,0.00
15332,Consulting / Other Professional Services,Professional Services,USD,49.00
15519,Utilities,Energy & Manufacturing,USD,0.00
15570,Internet Content & Software,Media & Content,USD,816.00
15581,Consulting / Other Professional Services,Professional Services,USD,0.00
15627,Internet Content & Software,Media & Content,USD,0.00
15629,Cloud Service Provider,Data Center & Cloud Services,USD,0.00
15640,Colo/Hosting,Data Center & Cloud Services,USD,"1,286.00"
15656,Manufacturing,Energy & Manufacturing,USD,304.00
15718,Engineering,Professional Services,USD,0.00
15783,Internet Content & Software,Media & Content,USD,594.00
15870,Internet Content & Software,Media & Content,USD,"1,479.00"
15942,Healthcare,Healthcare,USD,550.00
15945,Non-Healthcare Insurance,Other Enterprise,USD,49.00
16084,K-12 Education,Research & Education,USD,0.00
16116,Media,Media & Content,USD,424.00
16259,Real Estate / Construction,Other Enterprise,USD,"1,436.00"
16292,Consulting / Other Professional Services,Professional Services,USD,197.00
16294,Consulting / Other Professional Services,Professional Services,USD,783.00
16302,Internet Content & Software,Media & Content,USD,403.00
16389,Research,Research & Education,USD,"3,909.00"
16447,State/Local Government,Government,USD,0.00
16451,Health Insurance,Healthcare,USD,0.00
16462,Consulting / Other Professional Services,Professional Services,USD,0.00
16486,Internet Content & Software,Media & Content,USD,0.00
16494,Consulting / Other Professional Services,Professional Services,USD,517.00
16504,Consulting / Other Professional Services,Professional Services,USD,105.00
16565,RLEC,Telecommunications,USD,547.00
16673,Consulting / Other Professional Services,Professional Services,USD,185.00
16843,Retail,Other Enterprise,USD,71.00
16872,Higher Education,Research & Education,USD,0.00
16957,Healthcare,Healthcare,USD,"2,100.00"
16961,Retail,Other Enterprise,USD,"1,492.00"
16971,Legal,Professional Services,USD,"1,791.00"
16986,Retail,Other Enterprise,USD,879.00
17098,Internet Content & Software,Media & Content,USD,0.00
17124,Cloud Service Provider,Data Center & Cloud Services,USD,0.00
17141,Systems Integrators,Government,USD,"2,167.00"
17202,Commercial Systems Integrator,Professional Services,USD,727.00
17278,Internet Content & Software,Media & Content,USD,49.00
17309,Healthcare,Healthcare,USD,665.00
17311,Utilities,Energy & Manufacturing,USD,500.00
17356,Retail,Other Enterprise,USD,"1,417.00"
17394,Finance,Finance,USD,499.00
17407,Manufacturing,Energy & Manufacturing,USD,99.00
17452,Colo/Hosting,Data Center & Cloud Services,USD,0.00
17539,Consulting / Other Professional Services,Professional Services,USD,0.00
17662,Consulting / Other Professional Services,Professional Services,USD,"1,300.00"
17695,Cloud Service Provider,Data Center & Cloud Services,USD,0.00
17734,Regional Carrier/ISP,Telecommunications,USD,"1,172.00"
17803,Retail,Other Enterprise,USD,0.00
17952,Healthcare,Healthcare,USD,525.00
18021,Colo/Hosting,Data Center & Cloud Services,USD,797.00
18095,Colo/Hosting,Data Center & Cloud Services,USD,0.00
18096,Media,Media & Content,USD,"1,224.00"
18149,State/Local Government,Government,USD,0.00
18215,Finance,Finance,USD,"1,121.00"
18225,Consulting / Other Professional Services,Professional Services,USD,405.00
18226,Internet Content & Software,Media & Content,USD,867.00
18228,Regional Carrier/ISP,Telecommunications,USD,0.00
18254,Systems Integrators,Government,USD,414.00
18266,Legal,Professional Services,USD,500.00
18283,Finance,Finance,USD,0.00
18296,Engineering,Professional Services,USD,721.00
18406,Consulting / Other Professional Services,Professional Services,USD,98.00
18431,Retail,Other Enterprise,USD,"1,098.00"
18458,Finance,Finance,USD,"2,549.00"
18476,Internet Content & Software,Media & Content,USD,0.00
18493,Consulting / Other Professional Services,Professional Services,USD,0.00
18514,Consulting / Other Professional Services,Professional Services,USD,0.00
18536,Consulting / Other Professional Services,Professional Services,USD,"1,186.00"
18550,Media,Media & Content,USD,"1,325.00"
18558,Health Insurance,Healthcare,USD,"2,124.00"
18609,Colo/Hosting,Data Center & Cloud Services,USD,50.00
18727,Real Estate / Construction,Other Enterprise,USD,0.00
18730,Cable & Satellite,CATV/Satellite,USD,0.00
18736,Media,Media & Content,USD,"1,140.00"
18787,VOIP/VSP,Telecommunications,USD,"1,186.00"
18808,Legal,Professional Services,USD,356.00
18834,Consulting / Other Professional Services,Professional Services,USD,0.00
18844,Healthcare,Healthcare,USD,0.00
18870,Regional Carrier/ISP,Telecommunications,USD,111.00
18994,Regional Carrier/ISP,Telecommunications,USD,"1,218.00"
19011,Finance,Finance,USD,245.00
19028,Commercial Systems Integrator,Professional Services,USD,250.00
19115,Oil & Gas,Energy & Manufacturing,USD,"1,748.00"
19117,Regional Carrier/ISP,Telecommunications,USD,"2,039.00"
19123,Consulting / Other Professional Services,Professional Services,USD,148.00
19144,Consulting / Other Professional Services,Professional Services,USD,270.00
19252,Consulting / Other Professional Services,Professional Services,USD,114.00
19273,Internet Content & Software,Media & Content,USD,530.00
19437,Consulting / Other Professional Services,Professional Services,USD,850.00
19466,Healthcare,Healthcare,USD,441.00
19478,Consulting / Other Professional Services,Professional Services,USD,"1,374.00"
19495,Internet Content & Software,Media & Content,USD,200.00
19531,State/Local Government,Government,USD,"2,431.00"
19534,Health Insurance,Healthcare,USD,859.00
19616,Real Estate / Construction,Other Enterprise,USD,950.00
19678,Non-Healthcare Insurance,Other Enterprise,USD,"1,351.00"
19698,Real Estate / Construction,Other Enterprise,USD,390.00
19712,Engineering,Professional Services,USD,0.00
19723,Consulting / Other Professional Services,Professional Services,USD,"1,198.00"
19747,Finance,Finance,USD,0.00
19757,Finance,Finance,USD,"1,070.00"
19765,Consulting / Other Professional Services,Professional Services,USD,135.00
19773,Internet Content & Software,Media & Content,USD,"1,427.00"
19783,State/Local Government,Government,USD,"1,529.00"
19803,Consulting / Other Professional Services,Professional Services,USD,811.00
19806,Finance,Finance,USD,"1,412.00"
19825,Research,Research & Education,USD,137.00
19881,Legal,Professional Services,USD,816.00
19886,State/Local Government,Government,USD,0.00
19944,Real Estate / Construction,Other Enterprise,USD,355.00
19997,Internet Content & Software,Media & Content,USD,"1,015.00"
20001,Media,Media & Content,USD,"1,208.00"
20066,Consulting / Other Professional Services,Professional Services,USD,890.00
20153,Colo/Hosting,Data Center & Cloud Services,USD,908.00
20216,State/Local Government,Government,USD,0.00
20247,Asset Management / Hedge Fund,Finance,USD,790.00
20277,Consulting / Other Professional Services,Professional Services,USD,"1,478.00"
20280,Real Estate / Construction,Other Enterprise,USD,"1,520.00"
20331,Reseller,Telecommunications,USD,0.00
20334,State/Local Government,Government,USD,417.00
20337,Reseller,Telecommunications,USD,0.00
20417,Finance,Finance,USD,867.00
20461,Manufacturing,Energy & Manufacturing,USD,510.00
20510,Engineering,Professional Services,USD,"1,199.00"
20522,Consulting / Other Professional Services,Professional Services,USD,586.00
20523,Consulting / Other Professional Services,Professional Services,USD,123.00
20559,State/Local Government,Government,USD,276.00
20596,Media,Media & Content,USD,102.00
20609,Consulting / Other Professional Services,Professional Services,USD,430.00
20647,Consulting / Other Professional Services,Professional Services,USD,578.00
20693,Colo/Hosting,Data Center & Cloud Services,USD,"1,158.00"
20704,Colo/Hosting,Data Center & Cloud Services,USD,420.00
20769,Internet Content & Software,Media & Content,USD,99.00
20827,Retail,Other Enterprise,USD,0.00
20923,Consulting / Other Professional Services,Professional Services,USD,0.00
20963,Consulting / Other Professional Services,Professional Services,USD,0.00
21030,Research,Research & Education,USD,"1,455.00"
21033,Engineering,Professional Services,USD,"1,326.00"
21104,Manufacturing,Energy & Manufacturing,USD,0.00
21178,Consulting / Other Professional Services,Professional Services,USD,61.00
21197,Internet Content & Software,Media & Content,USD,169.00
21219,Consulting / Other Professional Services,Professional Services,USD,"1,336.00"
21244,RLEC,Telecommunications,USD,0.00
21256,Manufacturing,Energy & Manufacturing,USD,"1,007.00"
21340,Wireless,Telecommunications,USD,"1,303.00"
21380,Consulting / Other Professional Services,Professional Services,USD,525.00
21428,State/Local Government,Government,USD,0.00
21474,Internet Content & Software,Media & Content,USD,0.00
21481,Consulting / Other Professional Services,Professional Services,USD,0.00
21486,Regional Carrier/ISP,Telecommunications,USD,0.00
21576,Colo/Hosting,Data Center & Cloud Services,USD,0.00
21587,Healthcare,Healthcare,USD,653.00
21612,Higher Education,Research & Education,USD,0.00
21613,Regional Carrier/ISP,Telecommunications,USD,0.00
21634,State/Local Government,Government,USD,0.00
21647,Internet Content & Software,Media & Content,USD,0.00
21677,Engineering,Professional Services,USD,"1,473.00"
21857,Wireless,Telecommunications,USD,0.00
21918,Internet Content & Software,Media & Content,USD,525.00
21930,Finance,Finance,USD,0.00
21989,Consulting / Other Professional Services,Professional Services,USD,622.00
21992,Internet Content & Software,Media & Content,USD,95.00
22027,Commercial Systems Integrator,Professional Services,USD,"1,000.00"
22055,Higher Education,Research & Education,USD,102.00
22154,State/Local Government,Government,USD,"1,680.00"
22159,Consulting / Other Professional Services,Professional Services,USD,523.00
22164,Consulting / Other Professional Services,Professional Services,USD,0.00
22189,RLEC,Telecommunications,USD,248.00
22217,State/Local Government,Government,USD,142.00
22278,Retail,Other Enterprise,USD,0.00
22309,Commercial Systems Integrator,Professional Services,USD,0.00
22312,State/Local Government,Government,USD,"1,898.00"
22321,Oil & Gas,Energy & Manufacturing,USD,892.00
22357,Finance,Finance,USD,459.00
22372,Cloud Service Provider,Data Center & Cloud Services,USD,"1,147.00"
22374,Consulting / Other Professional Services,Professional Services,USD,992.00
22390,Colo/Hosting,Data Center & Cloud Services,USD,0.00
22406,State/Local Government,Government,USD,"2,118.00"
22408,Media,Media & Content,USD,"1,382.00"
22430,,,USD,0.00
22442,Cloud Service Provider,Data Center & Cloud Services,USD,881.00
22508,Internet Content & Software,Media & Content,USD,0.00
22514,Oil & Gas,Energy & Manufacturing,USD,"1,359.00"
22517,Real Estate / Construction,Other Enterprise,USD,765.00
22520,Consulting / Other Professional Services,Professional Services,USD,0.00
22533,Media,Media & Content,USD,510.00
22554,Legal,Professional Services,USD,876.00
22644,Finance,Finance,USD,0.00
22645,Finance,Finance,USD,0.00
22747,Internet Content & Software,Media & Content,USD,0.00
22792,Consulting / Other Professional Services,Professional Services,USD,642.00
22869,K-12 Education,Research & Education,USD,65.00
22876,Finance,Finance,USD,0.00
22967,Finance,Finance,USD,0.00
22973,Retail,Other Enterprise,USD,0.00
23000,,,USD,0.00
23026,Retail,Other Enterprise,USD,"1,007.00"
23046,Consulting / Other Professional Services,Professional Services,USD,"2,492.00"
23117,Non-Healthcare Insurance,Other Enterprise,USD,"1,860.00"
23138,Finance,Finance,USD,0.00
23197,Regional Carrier/ISP,Telecommunications,USD,0.00
23202,Retail,Other Enterprise,USD,714.00
23293,Media,Media & Content,USD,621.00
23312,Finance,Finance,USD,0.00
23313,Regional Carrier/ISP,Telecommunications,USD,0.00
23321,Internet Content & Software,Media & Content,USD,679.00
23380,Regional Carrier/ISP,Telecommunications,USD,705.00
23405,State/Local Government,Government,USD,0.00
23455,Commercial Systems Integrator,Professional Services,USD,499.00
23539,Colo/Hosting,Data Center & Cloud Services,USD,0.00
23588,Internet Content & Software,Media & Content,USD,0.00
23592,Consulting / Other Professional Services,Professional Services,USD,134.00
23614,Research,Research & Education,USD,0.00
23665,Manufacturing,Energy & Manufacturing,USD,685.00
23683,Healthcare,Healthcare,USD,575.00
23803,K-12 Education,Research & Education,USD,586.00
23885,Wireless,Telecommunications,USD,0.00
23889,Reseller,Telecommunications,USD,"1,020.00"
23999,Engineering,Professional Services,USD,0.00
24026,Consulting / Other Professional Services,Professional Services,USD,"1,150.00"
24029,Consulting / Other Professional Services,Professional Services,USD,475.00
24038,Consulting / Other Professional Services,Professional Services,USD,775.00
24048,Retail,Other Enterprise,USD,0.00
24065,Internet Content & Software,Media & Content,USD,918.00
24119,Internet Content & Software,Media & Content,USD,49.00
24126,Consulting / Other Professional Services,Professional Services,USD,"1,020.00"
24139,Reseller,Telecommunications,USD,0.00
24150,National Carrier/ISP,Telecommunications,USD,0.00
24284,Commercial Systems Integrator,Professional Services,USD,0.00
24338,Systems Integrators,Government,USD,301.00
24352,Media,Media & Content,USD,98.00
24358,Consulting / Other Professional Services,Professional Services,USD,"1,274.00"
24370,Retail,Other Enterprise,USD,0.00
24482,Commercial Systems Integrator,Professional Services,USD,895.00
24557,Asset Management / Hedge Fund,Finance,USD,395.00
24573,Higher Education,Research & Education,USD,762.00
24579,Internet Content & Software,Media & Content,USD,"1,071.00"
24593,Retail,Other Enterprise,USD,0.00
24653,Higher Education,Research & Education,USD,"4,482.00"
24693,Consulting / Other Professional Services,Professional Services,USD,500.00
24732,Manufacturing,Energy & Manufacturing,USD,704.00
24737,Colo/Hosting,Data Center & Cloud Services,USD,"1,007.00"
24764,Consulting / Other Professional Services,Professional Services,USD,774.00
24783,Reseller,Telecommunications,USD,0.00
24863,Retail,Other Enterprise,USD,0.00
24891,Higher Education,Research & Education,USD,378.00
24938,Colo/Hosting,Data Center & Cloud Services,USD,765.00
24962,Retail,Other Enterprise,USD,742.00
25005,K-12 Education,Research & Education,USD,612.00
25059,Real Estate / Construction,Other Enterprise,USD,403.00
25064,State/Local Government,Government,USD,"1,060.00"
25082,Healthcare,Healthcare,USD,200.00
25097,Asset Management / Hedge Fund,Finance,USD,"4,691.00"
25135,Regional Carrier/ISP,Telecommunications,USD,"1,057.00"
25158,Retail,Other Enterprise,USD,595.00
25178,Healthcare,Healthcare,USD,0.00
25203,State/Local Government,Government,USD,500.00
25231,Internet Content & Software,Media & Content,USD,0.00
25295,K-12 Education,Research & Education,USD,"1,383.00"
25356,Consulting / Other Professional Services,Professional Services,USD,0.00
25462,Colo/Hosting,Data Center & Cloud Services,USD,779.00
25464,Media,Media & Content,USD,0.00
25492,Regional Carrier/ISP,Telecommunications,USD,"15,756.00"
25502,Internet Content & Software,Media & Content,USD,709.00
25622,K-12 Education,Research & Education,USD,112.00
25661,Regional Carrier/ISP,Telecommunications,USD,"1,045.00"
25662,Internet Content & Software,Media & Content,USD,0.00
25682,K-12 Education,Research & Education,USD,"3,322.00"
25744,Real Estate / Construction,Other Enterprise,USD,0.00
25761,Internet Content & Software,Media & Content,USD,0.00
25763,Finance,Finance,USD,0.00
25795,Consulting / Other Professional Services,Professional Services,USD,658.00
25830,Internet Content & Software,Media & Content,USD,0.00
25866,Colo/Hosting,Data Center & Cloud Services,USD,940.00
25872,Finance,Finance,USD,0.00
25885,Transportation,Other Enterprise,USD,0.00
25932,Finance,Finance,USD,"1,427.00"
25961,Regional Carrier/ISP,Telecommunications,USD,"2,549.00"
25983,Consulting / Other Professional Services,Professional Services,USD,875.00
25997,Colo/Hosting,Data Center & Cloud Services,USD,945.00
26093,Telecommunications Equipment Provider,Other Enterprise,USD,"1,620.00"
26109,Internet Content & Software,Media & Content,USD,99.00
26173,Consulting / Other Professional Services,Professional Services,USD,436.00
26227,Finance,Finance,USD,"1,489.00"
26241,Consulting / Other Professional Services,Professional Services,USD,508.00
26255,Consulting / Other Professional Services,Professional Services,USD,"1,016.00"
26267,Consulting / Other Professional Services,Professional Services,USD,0.00
26325,Manufacturing,Energy & Manufacturing,USD,0.00
26351,State/Local Government,Government,USD,0.00
26371,Colo/Hosting,Data Center & Cloud Services,USD,0.00
26453,Internet Content & Software,Media & Content,USD,820.00
26488,Consulting / Other Professional Services,Professional Services,USD,0.00
26517,Colo/Hosting,Data Center & Cloud Services,USD,121.00
26669,Internet Content & Software,Media & Content,USD,0.00
26670,Healthcare,Healthcare,USD,0.00
26703,Non-Healthcare Insurance,Other Enterprise,USD,"1,970.00"
26867,Legal,Professional Services,USD,0.00
26981,Consulting / Other Professional Services,Professional Services,USD,"1,853.00"
26987,Internet Content & Software,Media & Content,USD,"1,224.00"
27030,Internet Content & Software,Media & Content,USD,754.00
27035,Real Estate / Construction,Other Enterprise,USD,"3,301.00"
27133,VOIP/VSP,Telecommunications,USD,306.00
27138,Internet Content & Software,Media & Content,USD,365.00
27186,K-12 Education,Research & Education,USD,616.00
27238,Consulting / Other Professional Services,Professional Services,USD,119.00
27249,Regional Carrier/ISP,Telecommunications,USD,"1,259.00"
27288,Consulting / Other Professional Services,Professional Services,USD,147.00
27309,Internet Content & Software,Media & Content,USD,85.00
27341,Consulting / Other Professional Services,Professional Services,USD,"1,604.00"
27393,Consulting / Other Professional Services,Professional Services,USD,55.00
27411,Healthcare,Healthcare,USD,0.00
27416,Internet Content & Software,Media & Content,USD,765.00
27471,Media,Media & Content,USD,"1,822.00"
27533,Internet Content & Software,Media & Content,USD,0.00
27542,Colo/Hosting,Data Center & Cloud Services,USD,405.00
27582,Internet Content & Software,Media & Content,USD,417.00
27666,Finance,Finance,USD,655.00
27678,Internet Content & Software,Media & Content,USD,"1,375.00"
27702,Higher Education,Research & Education,USD,829.00
27779,Retail,Other Enterprise,USD,0.00
27785,Consulting / Other Professional Services,Professional Services,USD,512.00
27917,Finance,Finance,USD,"2,932.00"
27925,Engineering,Professional Services,USD,848.00
27945,Consulting / Other Professional Services,Professional Services,USD,399.00
28001,Media,Media & Content,USD,"1,441.00"
28012,Real Estate / Construction,Other Enterprise,USD,302.00
28013,Real Estate / Construction,Other Enterprise,USD,0.00
28078,Regional Carrier/ISP,Telecommunications,USD,0.00
28244,Internet Content & Software,Media & Content,USD,0.00
28253,Internet Content & Software,Media & Content,USD,612.00
28267,Consulting / Other Professional Services,Professional Services,USD,965.00
28277,Healthcare,Healthcare,USD,772.00
28287,Consulting / Other Professional Services,Professional Services,USD,109.00
28377,Internet Content & Software,Media & Content,USD,"1,427.00"
28454,Utilities,Energy & Manufacturing,USD,375.00
28462,Internet Content & Software,Media & Content,USD,"1,107.00"
28479,Consulting / Other Professional Services,Professional Services,USD,"2,651.00"
28510,National Carrier/ISP,Telecommunications,USD,0.00
28551,Consulting / Other Professional Services,Professional Services,USD,748.00
28627,Commercial Systems Integrator,Professional Services,USD,"1,216.00"
28634,Media,Media & Content,USD,0.00
28664,K-12 Education,Research & Education,USD,0.00
28863,Legal,Professional Services,USD,780.00
28945,Finance,Finance,USD,0.00
28998,Regional Carrier/ISP,Telecommunications,USD,317.00
29136,Consulting / Other Professional Services,Professional Services,USD,860.00
29143,Internet Content & Software,Media & Content,USD,375.00
29202,Consulting / Other Professional Services,Professional Services,USD,"1,230.00"
29229,Cloud Service Provider,Data Center & Cloud Services,USD,0.00
29261,Regional Carrier/ISP,Telecommunications,USD,"1,020.00"
29279,Finance,Finance,USD,0.00
29296,Wireless,Telecommunications,USD,0.00
29382,Federal Government,Government,USD,0.00
29450,Retail,Other Enterprise,USD,0.00
29455,Engineering,Professional Services,USD,918.00
29479,Internet Content & Software,Media & Content,USD,0.00
29582,Consulting / Other Professional Services,Professional Services,USD,0.00
29707,Internet Content & Software,Media & Content,USD,"1,695.00"
29787,Telecommunications Equipment Provider,Other Enterprise,USD,622.00
29831,K-12 Education,Research & Education,USD,"1,083.00"
29832,Systems Integrators,Government,USD,0.00
29842,Cloud Service Provider,Data Center & Cloud Services,USD,0.00
29856,Regional Carrier/ISP,Telecommunications,USD,"2,039.00"
29857,VOIP/VSP,Telecommunications,USD,0.00
29865,Transportation,Other Enterprise,USD,"1,951.00"
30010,Finance,Finance,USD,0.00
30081,Cable & Satellite,CATV/Satellite,USD,0.00
30107,Consulting / Other Professional Services,Professional Services,USD,638.00
30128,Commercial Systems Integrator,Professional Services,USD,541.00
30204,Consulting / Other Professional Services,Professional Services,USD,49.00
30228,Cloud Service Provider,Data Center & Cloud Services,USD,765.00
30239,Healthcare,Healthcare,USD,695.00
30255,Consulting / Other Professional Services,Professional Services,USD,"1,025.00"
30320,Consulting / Other Professional Services,Professional Services,USD,305.00
30326,Colo/Hosting,Data Center & Cloud Services,USD,"1,033.00"
30417,Finance,Finance,USD,534.00
30422,,,USD,0.00
30451,Retail,Other Enterprise,USD,"1,561.00"
30496,Internet Content & Software,Media & Content,USD,0.00
30551,Consulting / Other Professional Services,Professional Services,USD,966.00
30567,Legal,Professional Services,USD,0.00
30580,Consulting / Other Professional Services,Professional Services,USD,"3,394.00"
30589,Internet Content & Software,Media & Content,USD,395.00
30592,Real Estate / Construction,Other Enterprise,USD,0.00
30601,Internet Content & Software,Media & Content,USD,"1,366.00"
30679,Internet Content & Software,Media & Content,USD,0.00
30692,Internet Content & Software,Media & Content,USD,0.00
30717,Cable & Satellite,CATV/Satellite,USD,0.00
30720,PTT,Telecommunications,USD,478.00
30746,Consulting / Other Professional Services,Professional Services,USD,0.00
30778,Consulting / Other Professional Services,Professional Services,USD,109.00
30786,National Carrier/ISP,Telecommunications,USD,0.00
30840,Consulting / Other Professional Services,Professional Services,USD,"1,843.00"
30842,Media,Media & Content,USD,0.00
30934,Media,Media & Content,USD,0.00
31025,Media,Media & Content,USD,147.00
31069,Consulting / Other Professional Services,Professional Services,USD,"2,118.00"
31207,Telecommunications Equipment Provider,Other Enterprise,USD,"2,670.00"
31243,RLEC,Telecommunications,USD,0.00
31249,Higher Education,Research & Education,USD,90.00
31268,Internet Content & Software,Media & Content,USD,969.00
